claim_id,adjuster_note
CLM50085,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50086,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50087,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50088,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50089,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50090,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50091,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50092,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50093,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50094,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50095,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50096,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50097,Second claim this quarter involving this repair facility. Photos show pre-existing rust at impact point. Tow initiated before FNOL call.
CLM50098,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50099,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50100,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50101,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50102,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50103,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50104,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50105,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50106,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50107,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50108,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50109,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50110,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50111,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50112,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50113,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50114,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50115,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50116,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50117,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50118,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50119,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50120,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50121,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50122,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50123,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50124,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50125,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50126,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50127,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50128,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50129,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50130,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50131,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50132,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50133,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50134,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50135,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50136,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50137,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50138,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50139,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50140,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50141,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50142,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50143,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50144,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50145,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50146,Claimant statement matches passenger statement word for word. No police report at scene. Repair estimate from shop received before inspection.
CLM50147,Injuries reported by all occupants despite minor bumper damage. Same clinic for all treatments. Claimant unreachable at listed address.
CLM50148,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50149,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50150,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50151,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50152,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50153,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50154,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50155,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50156,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50157,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50158,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50159,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50160,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50161,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50162,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50163,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50164,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50165,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50166,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50167,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50168,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50169,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50170,Injuries reported by all occupants despite minor bumper damage. Same clinic for all treatments. Claimant unreachable at listed address.
CLM50171,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50172,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50173,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50174,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50175,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50176,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50177,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50178,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50179,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50180,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50181,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50182,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50183,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50184,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50185,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50186,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50187,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50188,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50189,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50190,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50191,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50192,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50193,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50194,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50195,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50196,Second claim this quarter involving this repair facility. Photos show pre-existing rust at impact point. Tow initiated before FNOL call.
CLM50197,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50198,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50199,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50200,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50201,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50202,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50203,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50204,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50205,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50206,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50207,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50208,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50209,Injuries reported by all occupants despite minor bumper damage. Same clinic for all treatments. Claimant unreachable at listed address.
CLM50210,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50211,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50212,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50213,Second claim this quarter involving this repair facility. Photos show pre-existing rust at impact point. Tow initiated before FNOL call.
CLM50214,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50215,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50216,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50217,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50218,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50219,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50220,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50221,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50222,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50223,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50224,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50225,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50226,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50227,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50228,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50229,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50230,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50231,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50232,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50233,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50234,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50235,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50236,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50237,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50238,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50239,Second claim this quarter involving this repair facility. Photos show pre-existing rust at impact point. Tow initiated before FNOL call.
CLM50240,Injuries reported by all occupants despite minor bumper damage. Same clinic for all treatments. Claimant unreachable at listed address.
CLM50241,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50242,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50243,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50244,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50245,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50246,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50247,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50248,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50249,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50250,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50251,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50252,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50253,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50254,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50255,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50256,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50257,Injuries reported by all occupants despite minor bumper damage. Same clinic for all treatments. Claimant unreachable at listed address.
CLM50258,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50259,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50260,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50261,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50262,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50263,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50264,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50265,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50266,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50267,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50268,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50269,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50270,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50271,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50272,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50273,Claimant statement matches passenger statement word for word. No police report at scene. Repair estimate from shop received before inspection.
CLM50274,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50275,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50276,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50277,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50278,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50279,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50280,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50281,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50282,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50283,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50284,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50285,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50286,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50287,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50288,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50289,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50290,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50291,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50292,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50293,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50294,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50295,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50296,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50297,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50298,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50299,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50300,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50301,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50302,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50303,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50304,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50305,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50306,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50307,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50308,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50309,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50310,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50311,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50312,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50313,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50314,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50315,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50316,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50317,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50318,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50319,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50320,Injuries reported by all occupants despite minor bumper damage. Same clinic for all treatments. Claimant unreachable at listed address.
CLM50321,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50322,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50323,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50324,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50325,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50326,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50327,Second claim this quarter involving this repair facility. Photos show pre-existing rust at impact point. Tow initiated before FNOL call.
CLM50328,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50329,Injuries reported by all occupants despite minor bumper damage. Same clinic for all treatments. Claimant unreachable at listed address.
CLM50330,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50331,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50332,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50333,Injuries reported by all occupants despite minor bumper damage. Same clinic for all treatments. Claimant unreachable at listed address.
CLM50334,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50335,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50336,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50337,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50338,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50339,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50340,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50341,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50342,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50343,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50344,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
